n_boite,adresse,commune,cp,conteneur,semaine_1,semaine_2,semaine_3,semaine_4,semaine_5,semaine_6,semaine_7,semaine_8,semaine_9,semaine_10,semaine_11,semaine_12,semaine_13,semaine_14,semaine_15,semaine_16,semaine_17,semaine_18,semaine_19,semaine_20,semaine_21,semaine_22,semaine_23,semaine_24,semaine_25,semaine_26,semaine_27,semaine_28,semaine_29,semaine_30,semaine_31,semaine_32,semaine_33,semaine_34,semaine_35,semaine_36,semaine_37,semaine_38,semaine_39,semaine_40,semaine_41,semaine_42,semaine_43,semaine_44,semaine_45,semaine_46,semaine_47,semaine_48,semaine_49,semaine_50,semaine_51,semaine_52,volume_moyen
60,Boulevard de la Tour / Rue Petit Salève 10,GENEVE,1205.0,KLEIN,6.0,4.0,3.0,4.0,4.0,8.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,8.0,5.0,6.0,3.0,2.0,6.0,7.0,6.0,3.0,5.0,5.0,7.0,6.0,5.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,4.0,5.0,5.0,5.0,7.0,5.0,6.0,8.0,2.0,5.4423076923076925
79,"Cité Bleue Universitaire, Avenue Louis Aubert 4",GENEVE,1206.0,KLEIN,5.0,4.0,4.0,5.0,5.0,0.0,4.0,2.0,6.0,4.0,3.0,4.0,3.0,4.0,6.0,8.0,7.0,8.0,6.0,3.0,3.0,8.0,4.0,5.0,8.0,5.0,7.0,5.0,6.0,6.0,3.0,11.0,4.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,4.0,7.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0,5.076923076923077
71,déchetterie - Rue Maurice Barraud 28 / Avenue Dumas (1),GENEVE,1206.0,KLEIN,6.0,5.0,4.0,5.0,8.0,0.0,8.0,6.0,6.0,6.0,5.0,6.0,8.0,5.0,8.0,8.0,7.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,10.0,10.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,4.0,5.0,5.0,8.0,6.0,8.0,5.0,4.0,6.615384615384615
78,déchetterie - Rue Maurice Barraud 28 / Avenue Dumas (2),GENEVE,1206.0,KLEIN,6.0,5.0,6.0,5.0,8.0,0.0,8.0,6.0,4.0,5.0,2.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,6.0,4.0,8.0,8.0,6.0,7.0,8.0,5.0,7.0,7.0,7.0,6.0,8.0,5.0,8.0,7.0,7.0,10.0,9.0,8.0,6.0,7.0,8.0,7.0,7.0,4.0,8.0,3.0,6.0,7.0,6.0,7.0,5.0,5.0,6.346153846153846
68,déchetterie - Rue Contamines / Avenue Jules Crosnier,GENEVE,1207.0,KLEIN,3.0,4.0,3.0,4.0,8.0,8.0,5.0,6.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,5.0,6.0,5.0,6.0,6.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,6.0,5.0,5.0,8.0,5.0,9.0,4.0,1.0,6.076923076923077
36,COOP/rue de Florissant 56 (1),GENEVE,1206.0,KLEIN,3.0,2.0,3.0,5.0,4.0,0.0,0.0,4.0,5.0,1.0,10.0,4.0,5.0,5.0,5.0,2.0,6.0,4.0,6.0,3.0,2.0,2.0,8.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,2.0,3.0,6.0,3.0,4.0,5.0,5.0,3.2884615384615383
38,COOP/rue de Florissant 56 (2),GENEVE,1206.0,KLEIN,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,4.0,4.0,6.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,2.0,2.0,6.0,2.0,3.0,5.0,5.0,3.0384615384615383
65,Chemin Giovani Gambini 8,GENEVE,1206.0,KLEIN,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,6.0,3.0,8.0,8.0,2.0,3.0,8.0,4.0,7.0,6.0,4.0,2.0,2.0,6.0,2.0,5.0,3.0,7.0,7.0,6.0,6.0,7.0,7.0,4.0,7.0,4.0,3.0,8.0,3.0,6.0,3.0,5.0,5.0,2.0,4.826923076923077
63,Rue Pedro Meylan,GENEVE,1207.0,KLEIN,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,8.0,5.0,5.0,5.0,8.0,3.0,6.0,4.0,4.0,7.0,4.0,5.0,5.0,2.0,3.0,2.0,6.0,4.0,5.0,5.0,5.0,7.0,3.0,5.0,4.0,4.0,7.0,7.0,8.0,7.0,5.0,8.0,0.0,7.0,2.0,3.0,3.0,8.0,4.0,6.0,4.0,2.0,4.769230769230769
97,Chemin de la Chevillarde 41-43,GENEVE,1208.0,KLEIN,6.0,5.0,6.0,5.0,8.0,4.0,5.0,8.0,6.0,7.0,8.0,5.0,5.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,4.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,4.0,4.0,2.0,8.0,10.0,7.0,5.0,10.0,6.288461538461538
